ProbeID,GSM946048,GSM946049,GSM946052
cg06952310,0.692211406,0.721481617,0.564053095
cg06993413,0.08985292,0.068864457,0.058194594
cg07158339,0.299140771,0.323544728,0.341882289
cg07285276,0.922104728,0.890128197,0.917557828
cg07291563,0.017645564,0.017370946,0.01181013
cg07337598,0.850167994,0.842887983,0.710058477
cg07388493,0.572372796,0.556758586,0.548999987
cg07408456,0.396673732,0.401349074,0.424278438
cg07455279,0.173989125,0.106464783,0.186341851
cg07498421,0.076757965,0.080885049,0.076880393
cg07595943,0.977928038,0.975895118,0.984973242
cg07663789,0.018896221,0.011400611,0.007506735
cg07730301,0.39323975,0.359858152,0.476615201
cg07770222,0.296009147,0.343798486,0.342368868
cg07849904,0.085296371,0.062685873,0.050990087
cg08030082,0.753875806,0.722685096,0.75298165
cg08090772,0.037287802,0.04543968,0.030337169
cg08124722,0.920092319,0.922405885,0.929913073
cg08186124,0.032343138,0.030637085,0.027990673
cg08251036,0.92046169,0.885603889,0.901501302
cg08331960,0.481954068,0.468811781,0.414119857
cg08370996,0.10171331,0.07030258,0.056439169
cg08413469,0.017064954,0.018761056,0.019088817
cg08434234,0.007999651,0.009902804,0.004962458
cg08771731,0.013670443,0.014416389,0.010959117
cg08965235,0.079345375,0.078001673,0.062263078
cg09019938,0.041834622,0.029851426,0.025733583
cg09118625,0.700478939,0.706283431,0.704220498
cg09133026,0.896931742,0.865035718,0.87414152
cg09191327,0.019980701,0.017991241,0.018696468
cg09418283,0.013106106,0.00983716,0.008460507
cg09441152,0.032244782,0.038824069,0.04437756
cg09509673,0.742330097,0.731206442,0.796562517
cg09646392,0.919879792,0.873652824,0.834157341
cg09722397,0.031785441,0.033770014,0.035176425
cg09722555,0.958194029,0.948777761,0.961802838
cg09785172,0.021772104,0.017023303,0.020921393
cg09809672,0.946849958,0.936795799,0.923387864
cg09869858,0.940504714,0.937758654,0.941331048
cg09885951,0.01144611,0.012113895,0.008358974
cg10045881,0.902281206,0.87845499,0.922636846
cg10266490,0.172815642,0.122259637,0.289792641
cg10281002,0.076277012,0.052964455,0.05703227
cg10345936,0.774203612,0.758698688,0.856616364
cg10376763,0.927986736,0.943958138,0.945900132
cg10377274,0.928107957,0.916003699,0.921534817
cg10486998,0.031812679,0.044179718,0.047465011
cg10523019,0.086785798,0.059301007,0.054704675
cg10865119,0.162876878,0.142092439,0.101542244
cg10920957,0.042396971,0.042808008,0.029580513
cg10940099,0.022311136,0.018231888,0.019493721
cg11025793,0.037932711,0.022112987,0.032744174
cg11299964,0.061099629,0.060009845,0.0643004
cg11314684,0.746439944,0.729780234,0.46594752
cg11388238,0.170718927,0.08116539,0.11688143
cg11653266,0.017127779,0.014314003,0.018799126
cg11932564,0.078608579,0.046398111,0.070217005
cg12351433,0.207500224,0.161905225,0.177970316
cg12373771,0.09624913,0.064879482,0.098362318
cg12413566,0.971429991,0.969923711,0.966153545
cg12616277,0.074653905,0.076096275,0.104462745
cg12768605,0.133267069,0.033349854,0.076458147
cg12830694,0.935303127,0.928405644,0.936649547
cg12941369,0.353656686,0.345788782,0.303039081
cg12946225,0.065997335,0.041848201,0.039194716
cg12985418,0.022213299,0.023110186,0.022521412
cg13038560,0.959872082,0.928473841,0.961104958
cg13129046,0.333987567,0.303532325,0.342978019
cg13216057,0.007154476,0.01518739,0.01065842
cg13269407,0.041498942,0.106563831,0.051337951
cg13302154,0.83251726,0.745665643,0.70987964
cg13319175,0.578707286,0.622753766,0.633843284
cg13460409,0.184764411,0.321881591,0.15566746
cg13547237,0.244661427,0.201716933,0.231029133
cg13682722,0.104899988,0.063225997,0.081521284
cg13828047,0.317535611,0.267798537,0.310052133
cg13836627,0.04141011,0.041997579,0.03620756
cg13854874,0.081408333,0.066882467,0.054743905
cg13899108,0.461248459,0.459119542,0.426675121
cg13931228,0.014343296,0.025173231,0.017419594
cg13975369,0.115943674,0.078693342,0.089205089
cg14060828,0.240594893,0.215503698,0.249772821
cg14163776,0.351831636,0.316626433,0.265290191
cg14175438,0.097006709,0.0945688,0.12613595
cg14258236,0.797856944,0.756846451,0.849561842
cg14308452,0.924291896,0.894718426,0.930830817
cg14329157,0.163166039,0.130229859,0.07832011
cg14408969,0.027215401,0.03156409,0.026931323
cg14409958,0.10971127,0.111416018,0.113234056
cg14423778,0.632994853,0.591097273,0.548942322
cg14424579,0.055128166,0.040602701,0.030261534
cg14501253,0.02388925,0.022736308,0.036930669
cg14597908,0.518348957,0.502636296,0.514398989
cg14654875,0.521925095,0.484281791,0.503984323
cg14658362,0.031061186,0.028277403,0.025454457
cg14723032,0.908066172,0.893293668,0.870213122
cg14727952,0.027261412,0.032454014,0.035085576
cg14894144,0.514714056,0.420335017,0.502140612
cg14992253,0.024813893,0.033262985,0.029155933
cg15185286,0.006007262,0.006997124,0.005833298
cg15262928,0.031585431,0.031903988,0.024134433
cg15341340,0.037851924,0.039139985,0.040639645
cg15381769,0.011455501,0.014131825,0.014929184
cg15547534,0.094149818,0.0561062,0.063801574
cg15661409,0.85774583,0.851624972,0.91765288
cg15703512,0.045950221,0.047788505,0.047446936
cg15804973,0.131256641,0.127028783,0.111291564
cg15974053,0.030777235,0.034641721,0.108024467
cg15988232,0.656396083,0.63174411,0.490727589
cg16034652,0.563800245,0.502361222,0.60915341
cg16150435,0.873696462,0.867655402,0.87677849
cg16168311,0.049045298,0.043300502,0.065369189
cg16241714,0.02175176,0.007593029,0.005657251
cg16358826,0.092270477,0.100422194,0.078205374
cg16408394,0.018908574,0.016307133,0.014741003
cg16419345,0.038580096,0.035084251,0.037598537
cg16494477,0.054632043,0.04555013,0.041809778
cg16547529,0.495394508,0.51574698,0.490149134
cg16579101,0.029533309,0.027292459,0.020088766
cg16744741,0.542172054,0.553717567,0.746664593
cg16899442,0.269912135,0.260258138,0.209928772
cg16984944,0.023025615,0.032025448,0.032826052
cg17063929,0.18398366,0.167154438,0.233640685
cg17099569,0.816840263,0.736970067,0.794944888
cg17274064,0.277941318,0.295352973,0.379255436
cg17285325,0.051429784,0.02897897,0.024753979
cg17324128,0.042263186,0.032794508,0.103807565
cg17338403,0.173024003,0.055463237,0.161161459
cg17408647,0.032025951,0.041891578,0.036545903
cg17589341,0.358734184,0.396217191,0.561884034
cg17655614,0.483295643,0.442662756,0.428296627
cg17686885,0.136409654,0.118069728,0.146733205
cg17729667,0.111141989,0.095555257,0.05699357
cg17853587,0.029054495,0.032019589,0.028805104
cg17960516,0.108311148,0.078117853,0.063763707
cg18031008,0.016562562,0.021013387,0.018940455
cg18055007,0.152988021,0.105656908,0.106917139
cg18139769,0.547088281,0.520708157,0.538108072
cg18180783,0.938333091,0.914730732,0.929012074
cg18328933,0.572937215,0.519143994,0.581578832
cg18440048,0.152877536,0.088977444,0.113240329
cg18573383,0.052247624,0.04152199,0.023277043
cg18956095,0.0605789,0.064625545,0.062075159
cg18983672,0.908587182,0.92443494,0.913614819
cg18984151,0.099370263,0.076741873,0.082400928
cg19008809,0.038043142,0.024350861,0.02123779
cg19044674,0.051378505,0.064629346,0.068496201
cg19046959,0.256588301,0.154420017,0.273372546
cg19167673,0.029847728,0.025036266,0.022114371
cg19273182,0.028817871,0.025111962,0.024528019
cg19305227,0.870547814,0.849855803,0.887987769
cg19346193,0.921065034,0.926228419,0.909917591
cg19420968,0.978198197,0.970855933,0.950418803
cg19478743,0.036329798,0.030184192,0.023352996
cg19514928,0.027012539,0.04099133,0.021104108
cg19569684,0.886910816,0.866547513,0.874005053
cg19692710,0.881566359,0.861995228,0.813098928
cg19706682,0.069594297,0.07387277,0.038583747
cg19722847,0.087770144,0.081105202,0.072107696
cg19724470,0.147258995,0.129326374,0.169900915
cg19761273,0.206427568,0.174079893,0.171068221
cg19853760,0.259816856,0.190501189,0.341236547
cg19945840,0.530360973,0.435155781,0.441528992
cg20100381,0.03609359,0.039672743,0.041420012
cg20240860,0.050255329,0.045422444,0.042058086
cg20295671,7.19E-05,0.002381216,0.006019933
cg20305610,0.026091133,0.021326783,0.017296326
cg20524216,0.016881999,0.015505414,0.011319077
cg20692569,0.280180256,0.183590671,0.198726043
cg20761322,0.050607436,0.049174997,0.05840013
cg20795863,0.958166942,0.968795394,0.93132203
cg20828084,0.912359444,0.924129615,0.848447359
cg20914508,0.139651428,0.134130556,0.128834619
cg20947775,0.022623282,0.03028534,0.021508036
cg20999813,0.019294365,0.024590273,0.037573183
cg21096399,0.316037214,0.268296868,0.338514308
cg21211748,0.055556166,0.072253001,0.067865354
cg21305265,0.029215547,0.030202456,0.025491656
cg21370143,0.975369054,0.968718318,0.95322275
cg21378206,0.970359536,0.969985917,0.974594812
cg21395782,0.034624483,0.035450415,0.02917582
cg21460081,0.035820575,0.033756754,0.042260983
cg21801378,0.024490893,0.011357631,0.031855209
cg21870884,0.160250581,0.165185006,0.129583831
cg21950518,0.048235359,0.063837889,0.084890416
cg22006386,0.052355045,0.049621517,0.04924921
cg22171829,0.132477204,0.114235055,0.160770173
cg22190114,0.925061708,0.937134375,0.953643722
cg22197830,0.591701465,0.536364407,0.545695135
cg22289837,0.600793021,0.582204956,0.501951285
cg22432269,0.015793632,0.009530388,0.016344239
cg22449114,0.406765809,0.376816186,0.433402476
cg22568540,0.990452663,0.974385041,0.962512438
cg22613010,0.021084519,0.022825497,0.022053218
cg22637507,0.068595316,0.053837207,0.057496131
cg22679120,0.637296741,0.570843611,0.552756019
cg22736354,0.2160465,0.140996619,0.086030795
cg22809047,0.64046659,0.557473511,0.407855546
cg22901840,0.607683369,0.593863529,0.594715207
cg22920873,0.011074964,0.006978644,0.017385095
cg22947000,0.21581646,0.202962695,0.243599456
cg23092072,0.021146745,0.019710563,0.015898889
cg23124451,0.068829933,0.088427018,0.158729911
cg23180365,0.008240132,0.008063926,0.008046654
cg23517605,0.124545343,0.111127835,0.080130018
cg23662675,0.035468008,0.026519261,0.034301988
cg23786576,0.019622545,0.025471716,0.019769079
cg23941599,0.267642109,0.22346788,0.167161041
cg24058132,0.233662406,0.252205858,0.320120906
cg24081819,0.124332008,0.193320906,0.181676404
cg24116886,0.944502075,0.952910433,0.948080629
cg24126851,0.761588711,0.741590852,0.748916119
cg24254120,0.02941593,0.027669184,0.024003614
cg24262469,0.349038063,0.387690886,0.358476941
cg24450312,0.075156662,0.078690446,0.0846242
cg24471894,0.105241483,0.109105273,0.110293274
cg24580001,0.9670484,0.961981044,0.969194986
cg24834740,0.018121451,0.015363325,0.022850835
cg24888049,0.628607455,0.629669891,0.524429154
cg24899750,0.728497249,0.701946345,0.680401274
cg25070637,0.041218356,0.037923497,0.04132499
cg25101936,0.8112863,0.783048689,0.804221017
cg25148589,0.059648663,0.0597317,0.072794474
cg25159610,0.017674365,0.012907598,0.020276211
cg25166896,0.026161967,0.029162621,0.020814384
cg25411725,0.891456115,0.888790704,0.899278116
cg25505610,0.041861803,0.033270562,0.028417828
cg25552492,0.025855885,0.022478734,0.032476818
cg25564800,0.291121505,0.246232655,0.263804521
cg25657834,0.058819138,0.062704624,0.068643531
cg25683012,0.019948257,0.021318764,0.025453018
cg25771195,0.581847272,0.51082714,0.567403098
cg25781123,0.054597348,0.04618822,0.053552526
cg25809905,0.873762764,0.900270922,0.871140423
cg25928579,0.055612329,0.051377627,0.051414131
cg26003813,0.081536359,0.059909876,0.064996183
cg26005082,0.057847812,0.04577103,0.030664605
cg26043391,0.072750966,0.071499995,0.065789281
cg26045434,0.083857842,0.069103857,0.08140273
cg26162695,0.00354935,0.00917008,0.000679789
cg26297688,0.036738943,0.031280608,0.024412362
cg26372517,0.327966007,0.31906406,0.175349784
cg26394940,0.01203019,0.040743011,0.013032532
cg26453588,0.288275817,0.266927308,0.316598057
cg26456957,0.022861339,0.025960018,0.020874085
cg26614073,0.390787854,0.423393538,0.347328125
cg26620959,0.071493597,0.096134426,0.050826847
cg26723847,0.021300292,0.022385709,0.034218286
cg26824091,0.027292278,0.02837761,0.028275437
cg26842024,0.081077534,0.05015044,0.05236784
cg26845300,0.013462849,0.00730932,0.013193347
cg27015931,0.104587504,0.108117982,0.108740453
cg27016307,0.443809985,0.472469741,0.533977416
cg27092035,0.03318663,0.035498099,0.035530274
cg27169020,0.489264225,0.462019234,0.504967619
cg27202708,0.507798488,0.366720168,0.343498914
cg27319898,0.066277068,0.043655293,0.051799289
cg27377450,0.964294642,0.961403262,0.952818335
cg27413543,0.031735522,0.036097325,0.031310364
cg27494383,0.045191746,0.033523763,0.049508062
cg27544190,0.083174397,0.084162782,0.116468154
